id,created_at,user_id,character_1,character_2,title,description,video_url,notation,damage,difficulty,no_ultimate,midscreen,corner,assist_combo,after_parry,category,starter,approved,upvotes,game_version,is_outdated,fuse_type,downvotes,works_on_characters,meter_cost,slug,fury
3f6b53c7-09ce-4bb3-ba9e-e32ef9ff05e8,2025-10-09T14:09:55.922448+00:00,738dd834-2d88-4204-8217-9f992c38c9c3,Warwick,Vi,Full Bloodlust Builder WW / Vi,"0 to full Bloodlust w/ WW / Vi
591 damage single bar
Time the 6T with the second hit of WW 2S2. Semi-strict timing",,"M -> H -> 3H -> 2S2 -> (delay) 6T , 66 -> M -> H -> 2H -> j. M -> j. H -> j. S1 , 6S2 -> S2 ~ S2 ~ S2 -> ( S2 + M )",591.0,intermediate,False,True,False,False,False,combo,neutral,True,2,1.0.1,False,,0,[],1,warwick-vi-full-bloodlust-builder-591dmg-bYcpGBzZ,False
27ef1977-3573-4472-839c-55a4b2001c12,2025-11-02T15:26:01.935815+00:00,b225a317-a2d2-44b7-b360-6dbaca20d243,Illaoi,Yasuo,Illaoi Yasuo Tentacle Super TOD,"Something I cooked up for when I play duos with my friend. Works with 2X Assist, Double Down and Freestyle.",https://streamable.com/u847lu,j.{H} > {H} 66 2M > M > {H} 66 2M > M > H > {6S2} > 6T > T > j.S2 > j.2H S2 > j.2H > S1 > S1 > S2 > j.S2 > 2S1 > M > j.2H > S1 > S1 > S2 > 2S1 > H > S1/S2+M > S1/S2+H,1013.0,advanced,False,False,True,False,False,combo,,True,0,1.0.1.1,False,2x-assist,0,[],3,illaoi-yasuo-illaoi-yasuo-tentacle-1013dmg-oGZlH58C,False
40e2ee44-ab50-481c-bd4e-f704f367a8e6,2025-10-24T16:32:16.446589+00:00,e5fc5985-3094-4f3b-84c6-21151156e8af,Ekko,,Mix-up 1,,,2S2 > 3M > S2 > S1 + ( L or M or H ) > 66 > j. H > S2 > S2,422.0,beginner,False,False,False,False,False,combo,,True,1,1.0.1.1,False,,0,[],1,ekko-mix-up-f4kkk52f,False
9c50a2dd-ef1b-4a9b-b7ac-1d651e3bd3fc,2025-10-16T04:36:34.108248+00:00,f8f6f59a-16e4-436d-93df-fa973babba1f,Vi,,Practical Corner Electric Combo,"If you can hit electrics consistently, this is the combo you'd wanna go for",,2M / M > H > 6S1 ~ L ~ { M } > 6S1 ~ { M } > 6S1 ~ { L } ~ { M } > (delay) S1 > 2M > H > H > (delay) 2H > j. H > j. S1,510.0,intermediate,True,False,True,False,False,combo,,True,1,1.0.1.1,False,,0,[],0,vi-practical-corner-electric-510dmg-dIA7ffI5,False
71ba854a-b0ac-460a-a2ee-c98f66d003d8,2025-10-02T06:04:19.144216+00:00,857bf713-b490-481d-a41f-032e7e9913fc,Yasuo,Ekko,Yasuo + Ekko Corner Combo,Yasuo Ekko corner combo,https://www.youtube.com/watch?v=Ea1LOuwbmP0,5M > 5H > 5S1 > T > 5M > 5H > 5S2 > 5S2 > 2L > 5H > 5S2 > 2S2 > j.S2 (Hold) > 5L > 5M > 5H > 6S1 > 2S2 > 5H > T > 2H (Air) > 5S1 > 5S1 > 5S2 > M+S2 (Hold),849.0,intermediate,False,False,True,False,False,combo,neutral,True,6,1.0.0,False,double-down,2,[],3,yasuo-ekko-yasuo-ekko-corner-849dmg-Q8fIS_2J,False
dd77509c-0d4b-4fb9-8c54-ddf65bb8eb1e,2025-10-08T19:41:18.130531+00:00,9eef37e8-a090-4cbc-9fb6-d82b8cbdb786,Illaoi,,Illaoi Mid Screen To Corner Carry Solo Combo,"Notes: Don't delay too much the first j.H, and cancel the dash quickly to get enough time to charge the 2H and not whiff it. ",https://youtu.be/QvDA9erAZI4,"2M > M > H > 2S2 > 66 > M > H > j. L > M > (delay) H > S1 > land > 66 (MicroDash), Charged 2H > j. 8 > M > H > S2 > S1 + L M H",598.0,intermediate,False,True,False,False,False,combo,,True,3,1.0.1,False,,1,[],1,illaoi-illaoi-mid-screen-598dmg-PfdP2jZl,False
41605d52-f39c-4b55-a949-1b69028cd764,2025-10-09T14:34:07.600359+00:00,738dd834-2d88-4204-8217-9f992c38c9c3,Vi,Warwick,Vi / WW Semi-Corner Meter Dump,"921 damage. Works from about half the stage or in the corner, but not fullscreen. This can probably be optimized further
Requires Double Down 
{M} = semi-charged (electric) M for Vi
The (S2 S2 S2) refers to mashing S2 during the WW 2S2s to make sure you get full damage from the ongoing Vi super in the background. The timing on this is important to make sure the super lasts the right amount of time for the full juggle. This combo doesn't work the same way if you have Bloodlust on WW.",,"2M -> M -> H -> 6S1 ~ L ~ { M } -> 6S1 ~ { L } ~ { M } -> 6S1 ~ { L } ~ { M } -> 6S1 ~ { L } ~ M -> 4T , [ S1 ] -> ( S2 + M ) -> T -> (WW) 2S2 ( S2 S2 S2 ), 2S2 ( S2 S2 S2 ) -> (delay) ( S1 + S2 )",921.0,advanced,False,False,True,False,False,combo,neutral,True,2,1.0.1,False,double-down,0,[],3,vi-warwick-semi-corner-meter-dump-921dmg-HumEDdkg,False
96c58a94-7834-48e1-ad1f-8f516afeb700,2025-10-10T08:21:29.912085+00:00,b15b1896-32bb-487d-804d-55502708a5a3,Yasuo,Vi,MID SCREEN YASUO+VI 878 DMG ,MID SCREEN YASUO BNB INTO VI OTG ASSIST AND 3 METER CASH OUT,https://x.com/maddkami/status/1976559528033517671,M H S1 2S1 6M 9 j.S2 land6S1 S2 j. [ S1 ] 2S1 2H 2S1 6 (delay)S2 2S1 6M 9 j.2H j.S1 j.S1 j.S2 4T 7 j.2H j.S1 j.S1 j.S2 S2 + H S1 + S2,878.0,advanced,False,False,False,False,False,combo,neutral,True,1,1.0.1,False,2x-assist,1,[],3,yasuo-vi-mid-screen-yasuovi-878dmg-G574DZAg,False
144e74b6-1497-4f76-ba1d-15bd16431e43,2025-10-09T14:26:04.620129+00:00,738dd834-2d88-4204-8217-9f992c38c9c3,Vi,Warwick,Vi / WW BnB 2-Bar ,"809 damage, 2-bar meter. Works anywhere (always corner carries even full stage). Might have to delay some of the timings if you try this in the corner, or go for more electric uppers. Requires Double Down
{M} = semi-charged (electric) M for Vi
The (S2 S2 S2) refers to mashing S2 during the WW 2S2s to make sure you get full damage from the ongoing Vi super in the background. The timing on this is important to make sure the super lasts the right amount of time for the full juggle. 
This combo doesn't work the same way if you have Bloodlust on WW.",,"2M -> M -> H -> 6S1 ~ L ~ { M } -> 6S1 ~ { L } -> S1 -> 66 -> M -> H ~ H -> 6S1 ~ (delay) { L } ~ M -> 4T , [ S1 ] -> ( S2 + M ) -> T -> (WW) 2S2 ( S2 S2 S2 ), 2S2 ( S2 S2 S2 ) -> (delay) 2S2 -> ( S1 + L )",809.0,advanced,False,True,False,False,False,combo,neutral,True,2,1.0.1,False,double-down,0,[],2,vi-warwick-bnb-2-bar-809dmg-ihaCK6NW,False
f9e85ebc-7889-4ff9-90e0-ae2b1999334d,2025-10-09T14:20:49.093511+00:00,738dd834-2d88-4204-8217-9f992c38c9c3,Vi,Warwick,Vi / WW BnB 1-Bar,"725 damage, 1-bar meter. Works anywhere (always corner carries even full stage). Might have to delay some of the timings if you try this in the corner, or go for more electric uppers.
{M} = semi-charged (electric) M for Vi",,"2M -> M -> H -> 6S1 ~ L ~ { M } -> 6S1 ~ { L } -> S1 -> 66 -> M -> H ~ H -> 6S1 ~ (delay) { L } ~ M -> 4T , [ S1 ] , H -> 2T -> (WW) j. H -> j. S1 , 6S2 -> ( S2 + M )",725.0,advanced,False,True,False,False,False,combo,neutral,True,2,1.0.1,False,,0,[],1,vi-warwick-bnb-1-bar-725dmg-fR4-Tnf1,False
